SigmoidOfAreas,Steel_Plate_Thickness,Length_of_Conveyer,Edges_Index,Edges_Y_Index,Minimum_of_Luminosity,labels
0.27027722612247507,63,1693,0.6829713657903852,1.0,107,0
1.0,70,1364,0.5191,0.7899,16,6
0.35757310331056325,40,1354,0.0325,0.9850113629657126,110,4
1.0,40,1358,0.0604,0.4295,36,2
0.12932260584879945,50,1358,0.8865656333520667,1.0,110,3
0.13472798483999524,50,1358,0.5625124121097258,1.0,117,3
0.4344991681526915,70,1358,0.023910447929525794,0.9955675040769345,102,0
0.6440426987844787,90,1696,0.17566213504479042,1.0,88,0
1.0,40,1400,0.0586,0.3775,19,2
1.0,300,1692,0.3002,0.7068,80,6
1.0,40,1358,0.1605,0.6094,114,2
1.0,40,1400,0.0586,0.3857,40,2
0.1934,40,1387,0.8118,1.0,157,2
0.8877437488890301,100,1364,0.9152888982680765,1.0,99,4
0.6268,40,1362,0.3979,0.8636,105,6
0.9975499078451268,100,1364,0.9150160681373259,1.0,95,4
0.1954,300,1358,0.6451,0.9091,79,6
0.22568909466807827,100,1366,0.901440134505697,0.9897168520459496,106,4
0.6155383465910522,40,1360,0.10028367154352522,1.0,75,0
0.3805776827551582,40,1354,0.03135584018760399,1.0,110,4
0.3663,40,1362,0.3187,0.9524,104,5
0.1812,143,1694,0.8158,0.6667,114,6
0.21149216948746344,70,1357,0.17858657015616333,0.9278876083127962,101,1
0.14,50,1358,0.2047,0.8333,123,3
1.0,40,1358,0.0574,0.4295,36,2
0.2519320301290422,60,1691,0.5464623844364771,1.0,84,5
0.6100143977836764,70,1352,0.10322355264204987,0.9765382263509556,90,1
1.0,40,1402,0.0585,0.3794126527545309,24,2
0.3239257772966704,40,1358,0.1580131830990478,1.0,102,0
0.223,100,1630,0.2638,0.8333,123,6
0.1346383667124263,50,1360,0.7708204335288364,1.0,111,3
0.9741643739284371,100,1364,0.9151526800861268,0.9896343414053987,98,4
0.3984438598453654,70,1356,0.26039424955219165,0.777772899645506,114,1
0.3197,40,1322,0.1029,1.0,105,5
0.4009,40,1373,0.0291,1.0,106,6
0.2984,40,1352,0.0251,1.0,107,5
0.2083647688352585,73,1358,0.6849467596633337,0.8963350546371387,112,3
0.9774,290,1353,0.2853,1.0,73,5
0.3638644248313708,70,1354,0.20935925212195872,0.5768188528392085,106,1
0.1862,40,1360,0.6706,1.0,112,5
0.28086437133847175,40,1356,0.2782118804162516,1.0,112,5
0.4415783197701144,70,1357,0.4597010887451217,0.9802758862602324,98,1
0.571029859619121,40,1358,0.2624468629932353,1.0,66,0
0.2469,40,1387,0.8219,0.8182,196,2
0.1852,70,1364,0.6701,1.0,92,6
0.2205015662903782,70,1354,0.08030797533299677,1.0,78,1
0.14784441946217838,50,1358,0.24254402362159028,0.892203816411943,123,3
0.13830333228131,50,1360,0.7018927250946678,1.0,111,3
0.9997593709880811,100,1365,0.9151481099251302,1.0,94,4
0.2195,69,1652,0.3378,0.875,116,4
0.15481475366874134,50,1358,0.8420198765284328,0.7835738228884424,120,3
0.13682556050854658,50,1358,0.432046942962953,1.0,116,3
0.2712,70,1358,0.5243,0.875,89,1
0.2985602122903521,83,1649,0.25535542392093213,1.0,91,0
0.12411307189526725,50,1357,0.19564960942326537,1.0,107,3
0.4399,40,1356,0.2935,0.7778,105,6
1.0,40,1358,0.0604,0.4552,42,2
0.2493028360341808,40,1357,0.03486277272737467,1.0,108,4
1.0,40,1402,0.0585,0.5078,33,2
